age,id,type,listener,response,f_fittype,f_param1,f_param2,d_fittype,d_param1,d_param2,sp_fittype,sp_param1,sp_param2,t_fittype,t_param1,t_param2
82,274,HUM,L1,1,1,1.31917363310788,NA,1,1.1079332798736,NA,1,0.153274588922267,0.354732598535551,3,2.61999999999898,1.43870784290839
183,340,HUM,L1,1,3,1.09562086950382,NA,3,1.59925282619051,NA,3,-0.186977355468442,0.963960277499778,2,2.76083742686572,1.83399533361238
183,340,HUM,L3,1,3,1.09815886392282,NA,3,1.63730714439377,NA,3,-0.185186341997468,0.936301766723594,2,3.15105927263747,1.88799679953073
95,530,HUM,L2,1,3,1.46743365941929,NA,3,1.54959642419915,NA,3,-0.292956255954746,0.90231137482945,2,4.59999999999999,1.53613991122444
82,274,LENA,NA,1,3,1.35902273178251,NA,3,1.22421511231399,NA,2,-0.0197410536887671,0.727912630271048,4,1,1.50701959063945
183,340,LENA,NA,1,3,1.57273116847083,NA,3,1.53242133697057,NA,2,-0.199862243674344,0.739755878131431,2,2.40636057533744,1.82079420465107
95,530,LENA,NA,1,3,1.54874644029998,NA,3,1.40401770176992,NA,2,-0.171252739416196,0.763557416029613,4,1,1.53189206624985
82,274,HUM,L1,0,3,1.19345248584575,NA,3,1.26090330216482,NA,2,0.0227661462744715,0.719794784164488,2,2.67688249231592,1.80580040836338
183,340,HUM,L1,0,3,1.94829051841801,NA,3,1.62488191123867,NA,2,-0.443587099732271,0.854654684809275,2,2.55940531767864,1.74047858456818
183,340,HUM,L3,0,3,1.81617511647157,NA,3,1.4762885693218,NA,2,-0.372567273494167,0.872518824285904,2,2.51718124151169,1.71302248681583
95,530,HUM,L2,0,3,1.25103995647371,NA,3,1.36441410668837,NA,2,-0.0540731722785919,0.740350605008948,2,2.33556243397192,1.43463460821139
82,274,LENA,NA,0,3,1.19233434676325,NA,3,1.3996783400467,NA,2,-0.0590648851619297,0.764516244625122,2,2.458137438263,1.68759837339325
183,340,LENA,NA,0,3,1.58820544047718,NA,3,1.56759964929103,NA,2,-0.343174511503758,0.894021098858704,2,2.34930459300075,1.59276302374231
95,530,LENA,NA,0,3,1.43227980745558,NA,3,1.52403579233194,NA,2,-0.184481590878772,0.759221592871592,2,2.17722590289364,1.343550388847
